BFY,FTYP,FUNDTYPE,APPR,DEPARTMENT,SVC,SERVICE,OBJECTGROUP,BUDCURR,ENCBFY,EXPBFY,ENCEXP
2022,GNFD,General Fund,0001PKR,Park and Recreation GF,4.12,Recreation Services,Reimbursements,-75000,0,-1339610.05,-1339610.05
2022,INSV,Internal Service Fund,0196EFM,Equipment and Fleet Management,5.E,City Fleet Maintenance and Repair Services,Capital Outlay,55846,0,148600.75,148600.75
2022,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.16,Landfill Services,Transfers Out,17329439,0,14781750.77,14781750.77
2023,GNFD,General Fund,0001DPD,Police Department GF,1.23,Police Criminal Investigations,Contractual & Other Services,9505798,1592800.53,7408082.77,9000883.3
2023,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.52,Water Capital Funding,Debt Svc-Interest On Bonds,52500000,0,45589632.44,45589632.44
2022,GNFD,General Fund,0001CVS,Civil Service GF,5.05,Applicant Processing - Civilian,Personnel Services,546950,0,681573.8,681573.8
2022,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.36,Regulation and Enforcement of For Hire Transportation,Personnel Services,0,0,35871.11,35871.11
2023,GNFD,General Fund,0001CCS,Code Compliance GF,3.10,Consumer Health,Supplies & Materials,138346,6101,91644.84,97745.84
2023,GNFD,General Fund,0001IGS,Mgmt Services - Intergovernmental Services,5.41,Office of Strategic Partnerships and Government Affairs,Reimbursements,-78399,0,0,0
2023,GNFD,General Fund,0001CVS,Civil Service GF,5.06,Applicant Processing - Uniform,Contractual & Other Services,101628,0,18608.77,18608.77
2022,GNFD,General Fund,0001DPD,Police Department GF,1.26,Police Investigation of Vice Related Crimes,Supplies & Materials,234247,0,57119.79,57119.79
2022,GNFD,General Fund,0001CTS,Court and Detention Services GF,3.15,Illegal Dump Team - Criminal Investigations and Arrests,Reimbursements,-884524,0,-638644.03,-638644.03
2023,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.05,City Facility Services,Contractual & Other Services,817702,63304.86,646198.99,709503.85
2023,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.03,Cultural Services Contracts,Reimbursements,-2530863,0,0,0
2022,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.12,Dallas Love Field,Capital Outlay,2002427,514536.82,1323334.42,1837871.24
2022,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.04,Brush/Bulk Waste Removal Services,Supplies & Materials,792877,0,1035349.87,1035349.87
2022,GNFD,General Fund,0001CMO,City Manager's Office GF,5.14,City Administration,Supplies & Materials,2193,0,6645.05,6645.05
2023,GNFD,General Fund,0001DPD,Police Department GF,1.21,Police Administrative Support,Reimbursements,-300311,0,-165826.27,-165826.27
2022,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.G,Disposal of Surplus and Police Unclaimed Property,Supplies & Materials,8704,0,6125.59,6125.59
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.26,DWU General Expense,Contractual & Other Services,77378891,0,76728471.53,76728471.53
2023,GNFD,General Fund,0001PBW,Public Works GF,5.73,Performance Management and Special Projects,Reimbursements,0,0,-350,-350
2023,OTHO,Other Operating Fund,0191DSV,9-1-1 System Operations,5.A,9-1-1 Technology/Education Services,Supplies & Materials,201465,2903.76,76755.42,79659.18
2023,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.22,GIS Mapping for Private Development,Personnel Services,1339543,0,1150410.97,1150410.97
2022,GNFD,General Fund,0001ECO,Economic Development GF,2.04,Business Development,Capital Outlay,5000,0,0,0
2022,GNFD,General Fund,0001CCO,City Controller's Office GF,5.24,Deferred Compensation,Contractual & Other Services,27390,0,23948.68,23948.68
2022,GNFD,General Fund,0001ECO,Economic Development GF,2.01,Area Development,Personnel Services,1542566,0,1112162.98,1112162.98
2023,GNFD,General Fund,0001PER,Human Resources GF,9.99,Department Support,Contractual & Other Services,301603,218889.02,741479.31,960368.33
2023,GNFD,General Fund,0001DPD,Police Department GF,1.29,Police Operational Support,Capital Outlay,1031429,5369,0,5369
2022,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.02,City-Owned Cultural Venues,Supplies & Materials,2357734,10602,2300766.94,2311368.94
2023,DSGO,General Obligation Debt Service,0981BMS,Debt Service BMS,,NONE,Debt Svc-Principal,43020000,0,0,0
2022,GNFD,General Fund,0001DPD,Police Department GF,1.22,Police Community Outreach,Supplies & Materials,12592,0,146079.95,146079.95
2023,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.N,Internal Telephone and Data Communication,Transfers Out,28251,0,816248.35,816248.35
2022,GNFD,General Fund,0001MCC,Mayor and City Council GF,5.03,Administrative Support for the Mayor and City Council,Personnel Services,4301435.19,0,4391271.13,4391271.13
2022,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.33,Special Operations,Reimbursements,-9622350,0,-7243087.94,-7243087.94
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.24,Wastewater Collection,Contractual & Other Services,3225435,20726.08,3434042.1,3454768.18
2023,GNFD,General Fund,0001PBW,Public Works GF,2.38,Rights-of-Way Maintenance Contracts and Inspections Group,Personnel Services,189810,0,360446.45,360446.45
2023,GNFD,General Fund,0001CVS,Civil Service GF,5.20,Civil Service Board Administration/Employee Appeals Process,Supplies & Materials,14689,382.75,789.38,1172.13
2022,GNFD,General Fund,0001PBW,Public Works GF,5.43,Land Surveying Services,Personnel Services,109466,0,117934.12,117934.12
2023,GNFD,General Fund,0001BSD,Building Services,2.07,Capital Facilities,Personnel Services,1562266,0,1098954.7,1098954.7
2023,INSV,Internal Service Fund,0294PBW,Public Works - Office of the Bond Program,5.43,Land Surveying Services,Supplies & Materials,20038,1192.8,6617.72,7810.52
2022,GNFD,General Fund,0001EQI,Office of Equity & Inclusion,5.31,Fair Housing and Human Rights Compliance,Contractual & Other Services,15000,0,175,175
2022,GNFD,General Fund,0001CCO,City Controller's Office GF,5.62,Contract Compliance and Monitoring,Supplies & Materials,12405,0,3946.14,3946.14
2022,GNFD,General Fund,0001IGS,Mgmt Services - Intergovernmental Services,5.01,311 Customer Service Center,Personnel Services,0,0,500,500
2022,GNFD,General Fund,0001DPD,Police Department GF,9.99,Department Support,Reimbursements,-9491798,0,-9614982.28,-9614982.28
2022,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.06,Dallas City Marshal,Contractual & Other Services,477872,0,309266.92,309266.92
2022,GNFD,General Fund,0001TRN,Transportation GF,2.47,Traffic Operations Maintenance,Supplies & Materials,17522186,25164.06,20714088.42,20739252.48
2022,OTHO,Other Operating Fund,0195ORM,Office of Risk Management,5.P,Risk Management Services,Reimbursements,-156997,0,-158576.51,-158576.51
2022,GNFD,General Fund,0001CCS,Code Compliance GF,3.17,Neighborhood Code Compliance Services,Personnel Services,20986988,0,19901840.18,19901840.18
2023,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.36,Regulation and Enforcement of For Hire Transportation,Personnel Services,0,0,80703.01,80703.01
2022,GNFD,General Fund,0001PNV,Planning and Urban Design GF,9.99,Department Support,Personnel Services,3335570,2386.43,3341906.09,3344292.52
2023,GNFD,General Fund,0001ECO,Economic Development GF,2.71,Performance Monitoring & Compliance,Personnel Services,96176,0,37319.04,37319.04
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.54,Water Utilities Capital Program Management,Personnel Services,12974441,0,15422160.31,15422160.31
2023,GNFD,General Fund,0001IPS,MGT- Office of Integrated Public Safety Solutions,5.66,Office of Integrated Public Safety Solutions,Capital Outlay,286945.54,286945.54,0,286945.54
2022,GNFD,General Fund,0001TRN,Transportation GF,2.47,Traffic Operations Maintenance,Contractual & Other Services,6990061,23623,4337646.35,4361269.35
2023,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.L,Internal Desktop Support,Personnel Services,222852,0,78944.61,78944.61
2023,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.50,Union Station,Contractual & Other Services,814807,51480.78,568499.02,619979.8
2022,GNFD,General Fund,0001CCO,City Controller's Office GF,5.32,Financial Reporting,Reimbursements,-481779,0,-480837.03,-480837.03
2022,GNFD,General Fund,0001DPD,Police Department GF,1.24,Police Field Patrol,Personnel Services,282542343,0,279055589.03,279055589.03
2022,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.12,Fire Training and Recruitment,Reimbursements,0,0,-8.5,-8.5
2023,GNFD,General Fund,0001LIB,Library GF,4.08,"Literacy Initiatives, Education & Community Engagement",Personnel Services,1048834,0,963514.09,963514.09
2022,GNFD,General Fund,0001TRN,Transportation GF,2.60,Parking Management and Enforcement,Supplies & Materials,110030,216,146996.31,147212.31
2022,GNFD,General Fund,0001PBW,Public Works GF,2.39,Service Maintenance Areas,Supplies & Materials,4284951.5,0.02,4827752.41,4827752.43
2023,GNFD,General Fund,0001PBW,Public Works GF,2.57,Street Forestry Division,Supplies & Materials,38271,10022.02,34403.69,44425.71
2022,GNFD,General Fund,0001CCO,City Controller's Office GF,5.62,Contract Compliance and Monitoring,Contractual & Other Services,186096,0,5839.6,5839.6
2022,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.10,Boards and Commissions Support,Contractual & Other Services,40752,6754.06,57188.54,63942.6
2023,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.50,Records Management,Supplies & Materials,1375,0,484.9,484.9
2022,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.33,Private Development Records and Archival Library,Contractual & Other Services,294955,0,85371.88,85371.88
